name,status,street,postcode,city,address,folder,logo_file,menu_count,archive_count,latest_menu,note,source_page
't Gierenest,open,Amstelveenseweg 61,1075 VV,Amsterdam,"Amstelveenseweg 61, 1075 VV Amsterdam",Gierenest,Gierenest/logo.png,1,,28 April 2011,,https://www.coffeeshopmenus.org/cs-geirenest.html
't Keteltje,open,Marnixstraat 74,1015 VX,Amsterdam,"Marnixstraat 74, 1015 VX Amsterdam",tKeteltje,tKeteltje/logo.png,1,7,5 September 2023,,https://www.coffeeshopmenus.org/cs-keteltje.html
't Ooievaartje,open,Ooievaarsweg 10,1021 GZ,Amsterdam,"Ooievaarsweg 10, 1021 GZ, Amsterdam",OOievaartje,OOievaartje/logo.png,1,7,5 April 2019,Later Noord,https://www.coffeeshopmenus.org/cs-oovievaartje.html
137,open,Brouwersgracht 137,1015 GE,Amsterdam,"Brouwersgracht 137, 1015 GE Amsterdam",137,137/logo.png,1,34,17 January 2025,Later 7th Heaven,https://www.coffeeshopmenus.org/cs-137.html
156,open,Hudsonstraat 156,1057 ST,Amsterdam,"Hudsonstraat 156, 1057 ST Amsterdam",156,156/logo.png,1,6,15 January 2024,Later Aktama 2,https://www.coffeeshopmenus.org/cs-156.html
1e Hulp,open,Marnixstraat 194,1016 TL,Amsterdam,"Marnixstraat 194, 1016 TL Amsterdam",1e Hulp,1e Hulp/logo.png,1,110,12 July 2026,,https://www.coffeeshopmenus.org/cs-1e-hulp.html
2e Cheech and Chong's,open,De Clercqstraat 30,1052 NE,Amsterdam,"De Clercqstraat 30, Amsterdam 1052 NE",Cheech & Chongs 2,Cheech & Chongs 2/logo.png,1,12,19 April 2026,,https://www.coffeeshopmenus.org/cs-cheech-chongs-2.html
420 Cafe (de Kuil),open,Oudebrugsteeg 27,1012 JN,Amsterdam,"Oudebrugsteeg 27, 1012 JN Amsterdam",de Kuil ( 420 Cafe ),de Kuil ( 420 Cafe )/logo.png,1,28,13 May 2026,,https://www.coffeeshopmenus.org/cs-420-cafe.html
420 Coffeeshop,open,Singel 387,1012 WN,Amsterdam,"Singel 387, 1012 WN Amsterdam",Dutch Flowers,Dutch Flowers/logo.png,1,,10 October 2018,Previously Dutch Flowers and later Greenhouse Strain Hunters. See also 420 Cafe,https://www.coffeeshopmenus.org/cs-420-coffeeshop.html
7th Heaven,open,Brouwersgracht 137,1015 GE,Amsterdam,"Brouwersgracht 137, 1015 GE Amsterdam",7thHeaven,7thHeaven/logo.png,1,17,15 July 2026,Previously 137,https://www.coffeeshopmenus.org/cs-7thheaven.html
96,open,Jan Pieter Heijestraat 96,1053 GT,Amsterdam,"Jan Pieter Heijestraat 96, 1053 GT Amsterdam",Coffeeshop96,Coffeeshop96/logo.png,1,3,25 August 2025,,https://www.coffeeshopmenus.org/cs-96.html
Abraxas,open,Jonge Roelensteeg 12 - 14,1012 PL,Amsterdam,"Jonge Roelensteeg 12 - 14, 1012 PL Amsterdam",Abraxas,Abraxas/logo.png,1,62,15 July 2026,,https://www.coffeeshopmenus.org/cs-abraxas.html
Abraxas Too,closed,Spuistraat 51,1012 ST,Amsterdam,"Spuistraat 51, 1012 ST Amsterdam",Abraxas Too,Abraxas Too/logo.png,2,7,12 October 2012,"Previously Chocolata and now closed. See also Abraxas, which is still open.",https://www.coffeeshopmenus.org/cs-abraxas-too.html
Aktama 2,open,Hudsonstraat 156,1057 ST,Amsterdam,"Hudsonstraat 156, Amsterdam 1057 ST",Aktama2,Aktama2/logo.png,1,5,28 April 2026,Previously 156. See also Aktama Den Helder.,https://www.coffeeshopmenus.org/cs-aktama2.html
Amnesia,open,Herengracht 133,1015 BG,Amsterdam,"Herengracht 133, 1015 BG Amsterdam",Amnesia,Amnesia/logo.png,1,58,6 June 2026,,https://www.coffeeshopmenus.org/cs-amnesia.html
Amsterdam Genetics,open,Haarlemmerstraat 44,1013 ES,Amsterdam,"Haarlemmerstraat 44, Amsterdam 1013 ES",amsterdamgenetics,amsterdamgenetics/logo.png,1,2,14 June 2026,Previously CoffeeshopAmsterdam,https://www.coffeeshopmenus.org/cs-amsterdamgenetics.html
Amsterdamned,open,Haarlemmerstraat 6,1013 ER,Amsterdam,"Haarlemmerstraat 6, Amsterdam 1013 ER",Amsterdamned,Amsterdamned/logo.png,1,,21 May 2018,Previously Picasso and later Green Place 2,https://www.coffeeshopmenus.org/cs-amsterdamned.html
Andalucia,open,Halvemaansteeg 1,1017 CR,Amsterdam,"Halvemaansteeg 1, 1017 CR Amsterdam",Andalucia,Andalucia/logo.png,1,6,28 August 2022,Later Balboa Family,https://www.coffeeshopmenus.org/cs-andalucia.html
Anyday,closed,Korte Kolksteeg 5,1012 SK,Amsterdam,"Korte Kolksteeg 5, 1012 SK Amsterdam",Anyday,Anyday/logo.png,1,12,29 August 2014,Historic coffeeshop,https://www.coffeeshopmenus.org/cs-anyday.html
Arabica Lounge,closed,Amstelstraat 45,1017 DA,Amsterdam,"Amstelstraat 45, 1017 DA Amsterdam",Arabica Lounge,Arabica Lounge/logo.png,1,2,8 December 2010,Historic coffeeshop,https://www.coffeeshopmenus.org/cs-arabica-lounge.html
Atlantis,open,Daniel Stalpertstraat 78,1072 XK,Amsterdam,"Daniel Stalpertstraat 78, 1072 XK Amsterdam",Atlantis,Atlantis/logo.png,1,5,13 September 2016,Later Superskunk 1,https://www.coffeeshopmenus.org/cs-atlantis.html
Atlas,open,Parlevinker 8,1034 PZ,Amsterdam,"Parlevinker 8, 1034 PZ, Amsterdam",Atlas,Atlas/logo.png,1,3,29 September 2025,,https://www.coffeeshopmenus.org/cs-atlas-ams.html
Baba,open,Barentszstraat 130,1013 NS,Amsterdam,"Barentszstraat 130, 1013 NS Amsterdam",Baba,Baba/logo.png,1,15,26 December 2023,Previously de Barentsz and later The Plug Westerdok,https://www.coffeeshopmenus.org/cs-baba.html
Babylon,open,Beursstraat 27,1012 JV,Amsterdam,"Beursstraat 27, 1012 JV Amsterdam",Babylon,Babylon/logo.png,1,11,30 April 2022,,https://www.coffeeshopmenus.org/cs-babylon.html
Bagheera,open,Kloveniersburgwal 60,1012 CX,Amsterdam,"Kloveniersburgwal 60, Amsterdam 1012 CX",Bagheera,Bagheera/logo.png,1,58,27 June 2026,,https://www.coffeeshopmenus.org/cs-bagheera.html
Balboa Family,open,Halvemaansteeg 1,1017 CR,Amsterdam,"Halvemaansteeg 1, 1017 CR Amsterdam",BalboaFamily,BalboaFamily/logo.png,1,12,30 July 2026,Previously Andalucia,https://www.coffeeshopmenus.org/cs-balboa-family.html
Balou,open,Halvemaansteeg 5,1017 CR,Amsterdam,"Halvemaansteeg 5, 1017 CR Amsterdam",Balou,Balou/logo.png,1,38,6 February 2026,,https://www.coffeeshopmenus.org/cs-balou.html
