group,name,city,address,metres_from_first,on_greenmeister,status,has_hours,menus,latest_menu,menu_archive,note,id
1,Green Place 2,Amsterdam,"Haarlemmerstraat 6, Amsterdam 1013 ER",0,no,open,yes,1,29 June 2026,30,Previously Amsterdamned. See also Original Green Place near Nieuwmarkt.,green-place-2
1,Green Place Haarlemmerstraat,Amsterdam,"Haarlemmerstraat 6, Amsterdam",1,yes,open,yes,1,21 May 2018,,Previously Picasso and later Green Place 2,amsterdamned
1,Picasso,Amsterdam,"Haarlemmerstraat 6, Amsterdam",1,yes,open,yes,2,26 September 2013,8,Later Amsterdamned,picasso
1,The Bulldog Rockshop,Amsterdam,"Singel 12, Amsterdam",39,yes,open,yes,1,30 April 2026,6,,bulldog-rockshop
1,The Doors,Amsterdam,"Singel 14, 1013 GA Amsterdam",44,no,open,yes,1,23 September 2013,,Later The Store,the-doors
1,The Plug Store,Amsterdam,"Singel 14, Amsterdam 1013 GA",44,no,open,yes,1,21 April 2026,5,Previously The Store,the-plug-store
1,The Store,Amsterdam,"Singel 14, Amsterdam",57,yes,open,yes,1,5 September 2023,2,Previously The Doors and later The Plug Store,the-store
2,Andalucia,Amsterdam,"Halvemaansteeg 1, 1017 CR Amsterdam",0,no,open,yes,1,28 August 2022,6,Later Balboa Family,andalucia
2,Balboa Family,Amsterdam,"Halvemaansteeg 1, 1017 CR Amsterdam",2,no,open,yes,1,30 July 2026,12,Previously Andalucia,balboa-family
2,Balou,Amsterdam,"Halvemaansteeg 5, Amsterdam",8,yes,open,yes,1,6 February 2026,38,,balou
2,Family First,Amsterdam,"Amstel 36, Amsterdam",33,yes,open,yes,1,18 July 2026,60,,family-first
2,The Saint,Amsterdam,"Regulierssteeg 2, Amsterdam",60,yes,open,yes,1,7 April 2026,11,,saint
3,Coffeeshop Amsterdam,Amsterdam,"Haarlemmerstraat 44, Amsterdam",0,yes,open,yes,1,14 June 2026,2,Previously CoffeeshopAmsterdam,amsterdam-genetics
3,Dampkring 2,Amsterdam,"Haarlemmerstraat 44, Amsterdam",5,yes,open,yes,4,4 October 2016,17,Previously Pink Floyd and later CoffeeshopAmsterdam,dampkring-2
3,MissB by La Grotte,Amsterdam,"Haarlemmerstraat 34, Amsterdam",28,yes,open,yes,1,1 February 2026,27,Previously Dampkring 2 and later Amsterdam Genetics,coffeeshopamsterdam
3,Pink Floyd,Amsterdam,"Haarlemmerstraat 44, Amsterdam 1013 ES",4,no,open,yes,1,17 April 2007,2,Later Dampkring 2,pink-floyd
3,Popeye,Amsterdam,"Haarlemmerstraat 63, Amsterdam",16,yes,open,yes,1,24 June 2026,21,,popeye
4,De Jolly Joker,Amsterdam,"Nieuwmarkt 4, Amsterdam",0,yes,open,yes,1,4 April 2026,5,,jolly-joker
4,Greenhouse Effect,Amsterdam,"Nieuwmarkt 14, Amsterdam",32,yes,open,yes,1,4 September 2025,10,Previously Hill Street Blues OTM and later Tyson 2.0 Nieuwmarkt,greenhouse-effect
4,Hill Street Blues OTM,Amsterdam,"Nieuwmarkt 14, 1012 CR Amsterdam",33,no,open,no,2,23 April 2014,8,Later Greenhouse Effect,hill-street-blues-otm
4,Rock It,Amsterdam,"Nieuwmarkt 12, Amsterdam",33,yes,open,yes,1,25 February 2025,8,,rock-it
4,Tyson 2.0 Nieuwmarkt,Amsterdam,"Nieuwmarkt 14, Amsterdam 1012 CR",32,no,open,yes,1,20 April 2026,,Previously Greenhouse Effect,tyson-2-0-nieuwmarkt
5,Greenhouse Effect (original),Amsterdam,"Warmoesstraat 53-55, 1012 HW Amsterdam",0,no,closed,no,1,6 February 2013,4,Historic coffeeshop. See also Greenhouse Effect on Nieuwmarkt.,greenhouse-effect-original
5,Hill Street Blues,Amsterdam,"Warmoesstraat 52a, 1012 JG Amsterdam",16,no,open,yes,1,1 June 2010,,Now just a bar.,hill-street-blues
5,Stones Corner,Amsterdam,"Warmoesstraat 59, Amsterdam 1012 HW",7,no,closed,no,1,24 April 2015,9,Historic coffeeshop,stones-corner
5,Twilight Zone,Amsterdam,"Lange Niezel 7, 1012 GS Amsterdam",23,no,closed,no,1,29 September 2007,,Historic coffeeshop,twilight-zone
5,Highway,Amsterdam,"Lange Niezel 25, 1012 GS Amsterdam",61,no,closed,no,1,1 May 2012,3,Historic coffeeshop,highway
6,420 Coffeeshop,Amsterdam,"Singel 387, 1012 WN Amsterdam",0,no,open,yes,1,10 October 2018,,Previously Dutch Flowers and later Greenhouse Strain Hunters. See also 420 Cafe,420-coffeeshop
6,Dutch Flowers,Amsterdam,"Singel 387, Amsterdam",2,yes,open,yes,1,23 August 2013,7,Later 420 Coffeeshop,dutch-flowers
6,Strain Hunters,Amsterdam,"Singel 387, Amsterdam",2,yes,open,yes,1,5 February 2025,13,"Previously 420 Coffeeshop. See also Cookies, Greenhouse Centrum and Greenhouse Namaste",greenhouse-strain-hunters
6,Tweede Kamer,Amsterdam,"Heisteeg 6, Amsterdam",15,yes,open,yes,1,6 February 2026,19,,tweede-kamer
7,Arabica Lounge,Amsterdam,"Amstelstraat 45, 1017 DA Amsterdam",0,no,closed,no,1,8 December 2010,2,Historic coffeeshop,arabica-lounge
7,Kooi,Amsterdam,"Amstelstraat 35, Amsterdam",27,yes,open,yes,2,2 April 2022,,Previously Old Amsterdam and later New Times 2,kooi
7,New Times 2,Amsterdam,"Amstelstraat 35, Amsterdam 1017 DA",27,no,open,yes,1,31 March 2026,2,Previously Kooi,new-times-2
7,Old Amsterdam,Amsterdam,"Amstelstraat 35, Amsterdam",27,yes,open,no,1,19 April 2016,5,Later Kooi,old-amsterdam
8,420 Cafe,Amsterdam,"Oudebrugsteeg 27, Amsterdam",0,yes,open,yes,1,13 May 2026,28,,420-cafe-de-kuil
8,De Kroon,Amsterdam,"Oudebrugsteeg 26, Amsterdam",4,yes,open,yes,1,12 September 2025,17,Later Tha Dogg House 2,de-kroon
8,Tha Dogg House 2,Amsterdam,"Oudebrugsteeg 26, 1012 JP Amsterdam",6,no,open,yes,1,28 February 2026,,Previously de Kroon,tha-dogg-house-2
9,Atlantis,Amsterdam,"Daniel Stalpertstraat 78, 1072 XK Amsterdam",0,no,open,no,1,13 September 2016,5,Later Superskunk 1,atlantis
9,Program Coffeeshop | De Pijp Amsterdam,Amsterdam,"Daniël Stalpertstraat 78, Amsterdam",5,yes,open,yes,1,30 July 2026,4,Previously Superskunk 1,program
9,Superskunk 1,Amsterdam,"Daniel Stalpertstraat 78, Amsterdam 1072 XK",0,no,open,no,1,24 February 2024,,Previously Atlantis and later ProGram,superskunk-1
10,Baba,Amsterdam,"Barentszstraat 130, Amsterdam",0,yes,open,yes,1,26 December 2023,15,Previously de Barentsz and later The Plug Westerdok,baba
10,de Barentsz,Amsterdam,"Barentszstraat 130, 1013 NS Amsterdam",4,no,open,no,1,24 September 2010,,Later Baba,de-barentsz
10,The Plug Westerdok,Amsterdam,"Barentszstraat 130, Amsterdam",0,yes,open,yes,1,25 June 2026,2,Previously Baba,the-plug-westerdok
11,Betty Too,Amsterdam,"Reguliersdwarsstraat 29, Amsterdam",0,yes,open,yes,1,9 August 2020,14,Later Easy Times 2,betty-two
11,Easy Times Reguliersdwarsstraat,Amsterdam,"Reguliersdwarsstraat 29, Amsterdam",0,yes,open,yes,1,20 June 2026,3,Previously Betty Two. See also Easy Times,easy-times-2
11,The Otherside,Amsterdam,"Reguliersdwarsstraat 6, Amsterdam",24,yes,open,yes,1,30 July 2025,8,,the-otherside
12,Bluebird,Amsterdam,"Sint Antoniesbreestraat 71, Amsterdam",0,yes,open,yes,1,21 April 2026,39,,bluebird
12,Nice Dreams,Amsterdam,"Sint Antoniesbreestraat 77, Amsterdam 1011 HB",22,no,open,yes,1,,,Later Reefer,nice-dreams
12,Reefer,Amsterdam,"Sint Antoniesbreestraat 77, Amsterdam",5,yes,open,yes,1,13 July 2026,23,Previously Nice Dreams,reefer
13,City Hall,Amsterdam,"Oudezijds Voorburgwal 189, Amsterdam",0,yes,open,yes,1,7 April 2026,6,,city-hall
13,Green House Centrum,Amsterdam,"Oudezijds Voorburgwal 191, Amsterdam",8,yes,open,yes,1,24 July 2026,87,,greenhouse-centrum
13,Ricks Coffeeshop,Amsterdam,"Oudezijds Voorburgwal 250, Amsterdam 1012 GK",39,no,open,yes,1,2 April 2022,,,ricks-coffeeshop
14,Coffeeshop The Hit,Amsterdam,"Rusland 16, Amsterdam",0,yes,open,yes,2,5 August 2026,12,Previously The Plug XXX,the-hit
14,Rusland,Amsterdam,"Rusland 16, Amsterdam",0,yes,open,yes,2,3 April 2019,23,Later The Plug XXX,rusland
14,The Plug 3,Amsterdam,"Rusland 16, Amsterdam",0,yes,open,yes,1,20 August 2024,18,Previously Rusland and later The Hit. See also Plug Utopia and Plug West,the-plug-xxx
15,Easy Times Prinsengracht,Amsterdam,"Prinsengracht 476, Amsterdam",0,yes,open,yes,1,18 July 2026,57,,easy-times
15,Superskunk,Amsterdam,"Prinsengracht 480, Amsterdam",16,yes,open,yes,1,20 September 2025,11,Previously Tops,superskunk
15,Tops,Amsterdam,"Prinsengracht 480, Amsterdam",16,yes,open,no,2,30 September 2013,,Later Superskunk,tops
16,Funky Munkey,Amsterdam,"Marnixstraat 333, Amsterdam",0,yes,open,yes,1,14 September 2023,14,Later SWED a Snoop Dogg Store,funky-munkey
16,SWED a Snoop Dogg Store,Amsterdam,"Marnixstraat 333, Amsterdam 1016 TC",2,no,open,no,1,2 February 2025,8,Previously Funky Munkey and later Tha Dogg House,swed-a-snoop-dogg-store
16,Tha Dogg House a Snoop Dogg Store,Amsterdam,"Marnixstraat 333, Amsterdam",0,yes,open,yes,1,3 July 2026,6,Previously SWED a Snoop Dogg Store,tha-dogg-house
17,Hunter's Coffeeshop Amsterdam Centrum,Amsterdam,"Utrechtsestraat 14, Amsterdam",0,yes,open,yes,1,24 November 2025,4,Previously Hunter's Rembrandtsquare,hunters-downtown
17,Hunter's Rembrandtsquare,Amsterdam,"Utrechtsestraat 14, 1017 VN Amsterdam",6,no,open,no,1,19 May 2025,20,Previously Sevilla and later Hunter's Downtown,hunters-rembrandtsquare
17,Sevilla,Amsterdam,"Utrechtsestraat 14, 1017 VN Amsterdam",6,no,open,no,1,5 November 2009,2,Later Hunter's Rembrandtsquare,sevilla
18,Jollygood,Amsterdam,"2e Laurierdwarsstraat 44, Amsterdam 1016 RB",0,no,open,yes,2,18 July 2026,9,Previously Mr. K's,jollygood
18,Mr. K,Amsterdam,"Tweede Laurierdwarsstraat 44, Amsterdam",13,yes,open,yes,1,21 August 2025,37,Previously Sanementereng and later Jollygood,mr-ks
18,Sanementereng,Amsterdam,"2e Laurierdwarsstraat 44, 1016 RB Amsterdam",22,no,open,no,1,17 April 2009,,Later Mr. K's,sanementereng
19,De Pinguin,Arnhem,"Hommelseweg 5, Arnhem",0,yes,open,yes,0,,,,de-pinguin-arnhem
19,Lucky Luke,Arnhem,"Sonsbeeksingel 91, Arnhem",15,yes,open,yes,4,,,,lucky-luke-arnhem
19,Zero Zero,Arnhem,"Hommelseweg 19, Arnhem",16,yes,open,yes,2,,,,zero-zero-arnhem
20,De Hut,Den Haag,"Herenstraat 7, Den Haag",0,yes,open,no,0,,,,de-hut-den-haag
20,Demo,Den Haag,"Herenstraat 8C, Den Haag",30,yes,open,yes,1,,,,demo-den-haag
20,Doctor Green,Den Haag,"Herenstraat 7, Den Haag",0,yes,open,yes,2,,,,doctor-green-den-haag
21,Dizzy Duck Downtown,Den Haag,"Fluwelen Burgwal 1c, Den Haag",0,yes,open,yes,6,,,,dizzy-duck-downtown-den-haag
21,Sky High,Den Haag,"Fluwelen Burgwal 1-c, Den Haag",0,yes,open,yes,0,,,,sky-high-den-haag
21,Sky High 1,Den Haag,"Fluwelen Burgwal 1-C, 2511 CH, Den Haag",4,no,open,no,1,,,,sky-high-1-den-haag
22,Aktama,Den Helder,"Koningstraat 73, Den Helder",0,yes,open,yes,1,,,,aktama-den-helder
22,Tops,Den Helder,"Koningstraat 34, Den Helder",32,yes,open,yes,1,,,,tops-den-helder
22,Tsjakka,Den Helder,"Koningstraat 44, Den Helder",17,yes,open,yes,1,,,,tsjakka-den-helder
23,De Leeuw,Hilversum,"Leeuwenstraat 25, Hilversum",0,yes,open,yes,1,,,,de-leeuw-hilversum
23,Dutch Flowers,Hilversum,"Leeuwenstraat 25, Hilversum",0,yes,open,yes,1,,,,dutch-flowers-hilversum
23,Rif,Hilversum,"Leeuwenstraat 34, Hilversum",14,yes,open,yes,0,,,,rif-hilversum
24,'t Kunsje,Nijmegen,"Tweede Walstraat 108, Nijmegen",0,yes,open,yes,4,,,,t-kunsje-nijmegen
24,Jamaica,Nijmegen,"Van Welderenstraat 96, Nijmegen",40,yes,open,yes,2,,,,jamaica-nijmegen
24,Lucky Luke,Nijmegen,"Tweede Walstraat 161, Nijmegen",38,yes,open,yes,4,,,,lucky-luke-nijmegen
25,Dreadlock,Nijmegen,"Vlaamsegas 40, 6511 HR, Nijmegen",0,no,open,no,4,,,,dreadlock-nijmegen
25,Dreadlock & Jetset,Nijmegen,"Vlaamsegas 40, Nijmegen",2,yes,open,yes,0,,,,dreadlock-jetset-nijmegen
25,Kronkel,Nijmegen,"Vlaamsegas 26-36, Nijmegen",20,yes,open,yes,3,,,,kronkel-nijmegen
26,De Ambassade,Zwijndrecht,"IJsselmeer 27, 3332 EX, Zwijndrecht",0,no,open,no,1,,,,de-ambassade-zwijndrecht
26,De Ambassade Zwijndrecht,Zwijndrecht,"IJsselmeer 27, Zwijndrecht",33,yes,open,yes,0,,,,de-ambassade-zwijndrecht-zwijndrecht
26,Xpresso,Zwijndrecht,"IJsselmeer 27, Zwijndrecht",6,yes,open,yes,0,,,,xpresso-zwijndrecht
27,The Grass Company,'s-Hertogenbosch,"Emmaplein 24-A, 5211 VW, 's-Hertogenbosch",0,no,open,no,1,,,,the-grass-company-s-hertogenbosch
27,The Grass Company Emmaplein,'s-Hertogenbosch,"Emmaplein 24-A, 's-Hertogenbosch",9,yes,open,yes,0,,,,the-grass-company-emmaplein-s-hertogenbosch
28,Boerejongens Almere,Almere,"Grote Markt 23, Almere",0,yes,open,yes,3,,,,boerejongens-almere-almere
28,Lounge Shop Domino,Almere,"Grote Markt 23, Almere",11,yes,open,yes,0,,,,lounge-shop-domino-almere
29,Dutch Gold,Alphen aan den Rijn,"Hooftstraat 96, Alphen aan den Rijn",0,yes,open,yes,1,,,,dutch-gold-alphen-aan-den-rijn
29,Pitstop,Alphen aan den Rijn,"Hooftstraat 102, Alphen aan den Rijn",8,yes,open,yes,1,,,,pitstop-alphen-aan-den-rijn
30,137,Amsterdam,"Brouwersgracht 137, 1015 GE Amsterdam",0,no,open,no,1,17 January 2025,34,Later 7th Heaven,137
30,7th Heaven (Coffeeshop 137),Amsterdam,"Brouwersgracht 137, Amsterdam",3,yes,open,yes,1,15 July 2026,17,Previously 137,7th-heaven
31,156,Amsterdam,"Hudsonstraat 156, 1057 ST Amsterdam",0,no,open,no,1,15 January 2024,6,Later Aktama 2,156
31,Aktama 2,Amsterdam,"Hudsonstraat 156, Amsterdam",1,yes,open,yes,1,28 April 2026,5,Previously 156. See also Aktama Den Helder.,aktama-2
32,Abraxas Too,Amsterdam,"Spuistraat 51, 1012 ST Amsterdam",0,no,closed,no,2,12 October 2012,7,"Previously Chocolata and now closed. See also Abraxas, which is still open.",abraxas-too
32,Chocolata,Amsterdam,"Spuistraat 51,",0,no,closed,no,2,,,Later Abraxas Too and now closed,chocolata
33,Bagheera,Amsterdam,"Kloveniersburgwal 60, Amsterdam",0,yes,open,yes,1,27 June 2026,58,,bagheera
33,Basjoe,Amsterdam,"Kloveniersburgwal 62, Amsterdam",9,yes,open,yes,1,14 February 2026,22,,basjoe
34,Barney’s,Amsterdam,"Haarlemmerstraat 102, Amsterdam",0,yes,open,yes,2,3 January 2019,,Historic coffeeshop,barneys-farm
34,Barneys Farm,Amsterdam,"Haarlemmerstraat 98, Amsterdam",3,yes,open,yes,3,6 June 2026,80,,barneys
35,Barney's Lounge,Amsterdam,"Reguliersgracht 27, Amsterdam 1017 LK",0,no,open,no,2,30 October 2019,3,Later Hashtag,barneys-lounge
35,Coffeeshop Hashtag,Amsterdam,"Reguliersgracht 27, Amsterdam",4,yes,open,yes,1,12 July 2026,34,Previously Barney's Lounge,hashtag
36,Ben,Amsterdam,"Kolksteeg 10, 1012 PT Amsterdam",0,no,closed,no,1,8 February 2012,3,Historic coffeeshop,ben
36,Betty Boop,Amsterdam,"Nieuwezijds Kolk 12, 1012 PV Amsterdam",35,no,closed,no,1,6 April 2014,18,Historic coffeeshop,betty-boop
37,Best Friends Oud-Zuid,Amsterdam,"Amstelveenseweg 61, Amsterdam",0,yes,open,yes,1,10 October 2018,5,"Previously Extreme and now closed. See also Best Friends Oost, which is still open.",best-friends-centrum
37,Extreme,Amsterdam,"Huidenstraat 13a, 1016 ER Amsterdam",16,no,closed,no,4,20 November 2009,7,Later Best Friends Centrum and now closed,extreme
